sample_id,requested_l0_m,actual_length_angle_deg,direction_angle_deg,rebuild_ok,length_residual_m,point1_x_m,point1_y_m,point1_z_m,point2_x_m,point2_y_m,point2_z_m,point2_drift_m,mass_kg,volume_m3,surface_area_m2,com_x_m,com_y_m,com_z_m,icom_xx_kg_m2,icom_xy_kg_m2,icom_xz_kg_m2,icom_yx_kg_m2,icom_yy_kg_m2,icom_yz_kg_m2,icom_zx_kg_m2,icom_zy_kg_m2,icom_zz_kg_m2,iorigin_xx_kg_m2,iorigin_xy_kg_m2,iorigin_xz_kg_m2,iorigin_yx_kg_m2,iorigin_yy_kg_m2,iorigin_yz_kg_m2,iorigin_zx_kg_m2,iorigin_zy_kg_m2,iorigin_zz_kg_m2,principal_i1_kg_m2,principal_i2_kg_m2,principal_i3_kg_m2,principal_axis1_x,principal_axis1_y,principal_axis1_z,principal_axis2_x,principal_axis2_y,principal_axis2_z,principal_axis3_x,principal_axis3_y,principal_axis3_z
"lookup_20cm",0.2,49.679512222850533,28.275434051813985,1,-3.5572933487770797E-12,0.051500000000000011,-0.19864314969189281,-0.023257237133025577,0.059499999999999983,-1.0443035325380379E-15,-1.0408340855860843E-16,1.7050531655582542E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203414,-0.049679932562369515,0.078229732160842141,0.015814465936028775,-0.00031021006337131189,0.00022366935882976504,-0.00031021006337131189,0.012075148054985831,-0.0020387437041457105,0.00022366935882976504,-0.0020387437041457105,0.0043650453914502625,0.029906556192670852,-0.00407992968139951,0.0061597514110666015,-0.00407992968139951,0.025626230564103687,-0.0084160443901226453,0.0061597514110666015,-0.0084160443901226453,0.011923870258919273,0.0038520235045963048,0.012562312830783564,0.015840323047084957,0.024399717996471823,-0.24143786568668421,0.9701094839111466,0.075569555249552472,-0.9671764641733841,-0.24260859314635885,0.9968419614367553,0.079230323498830149,-0.0053534808483113932
"lookup_21cm",0.21,52.448148326420487,28.275434051813985,1,-5.7242544038160759E-12,0.051500000000000039,-0.20822044479973748,-0.027280879109657097,0.059500000000000011,-1.0408340855860843E-15,-1.5959455978986625E-16,1.6966704150014343E-15,1.6409073231960014,0.0005470582945658511,0.2638037286397194,0.046242786809203393,-0.054422362977694,0.076119822968078274,0.015964309404712194,-0.00033508940638414081,0.00021514928120016879,-0.00033508940638414081,0.011740172031217352,-0.002337707942345025,0.00021514928120016879,-0.002337707942345025,0.0048498648839021578,0.030332128452565783,-0.0044646652490828971,0.0059911311548340096,-0.0044646652490828971,0.024756870844011035,-0.0091353644801408923,0.0059911311548340096,-0.0091353644801408923,0.013218802238906847,0.0041237968232431662,0.012439727508702769,0.015990821987885723,0.025689679441335059,-0.29435756655294121,0.95535002139699166,0.0725298734781293,-0.9525979367420917,-0.29545996068495745,0.997035334290339,0.076881687856997921,-0.0031222185719666593
"lookup_22cm",0.22,55.245414655410549,28.275434051813985,1,-8.7464480102994457E-12,0.051500000000000011,-0.21768796842349236,-0.031811136411713126,0.059499999999999983,-1.033895191682177E-15,-2.0816681711721685E-16,1.6877575712723597E-15,1.6409073231960014,0.000547058294565851,0.2638037286397194,0.046242786809203372,-0.059094372966313431,0.073762025241553633,0.016120611219069762,-0.00035977813374873984,0.00020533981170213497,-0.00035977813374873984,0.011370795527750114,-0.0026007786788309569,0.00020533981170213497,-0.0026007786788309569,0.0053755432017269476,0.030778805625986651,-0.0048438666901596469,0.0058024116931804145,-0.0048438666901596469,0.023807612327850974,-0.0097533634624434179,0.0058024116931804145,-0.0097533634624434179,0.014614737928487756,0.0043959234289809353,0.012323308726833055,0.016147717792732788,0.027150358487405737,-0.35048038683379662,0.9361764558451775,0.069445389721253262,-0.93359772435740074,-0.35152898446806086,0.99721622323369208,0.074557276771051534,-0.0010082658460010268
"lookup_23cm",0.23,58.074741255791132,28.275434051813985,1,-1.2898127010885219E-11,0.051499999999999956,-0.22702753885093913,-0.0368577888288579,0.059499999999999928,-1.0200174038743626E-15,-2.7061686225238191E-16,1.6750935775328828E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203372,-0.063687765194203855,0.07115211474543906,0.016283586670691016,-0.0003842345855522612,0.00019420867235011324,-0.0003842345855522612,0.010969643048284029,-0.002823369870963096,0.00019420867235011324,-0.002823369870963096,0.0059396711328142974,0.031246618312317048,-0.00521687032996585,0.0055932402125668766,-0.00521687032996585,0.0227858474736365,-0.010259172873670355,0.0055932402125668766,-0.010259172873670355,0.016104315469032637,0.0046639431068847539,0.012217723191874868,0.016311234553029672,0.028793227823113381,-0.4099468905858018,0.91165481237722812,0.066296110379268081,-0.90924161720093666,-0.410955602587926,0.997384467384622,0.072271906359650639,0.00099788327759143636
"lookup_24cm",0.24,60.939737824776486,28.275434051813985,1,-1.8558793390965889E-11,0.051499999999999983,-0.2362193203432959,-0.042431505837568689,0.059499999999999956,-1.0096090630185017E-15,-3.1225022567582528E-16,1.6638783588759523E-15,1.6409073231960012,0.0005470582945658511,0.2638037286397194,0.046242786809203379,-0.068193424407260991,0.068285487054154631,0.01645341645831665,-0.00040841213779825423,0.00018172138450611014,-0.00040841213779825423,0.01053974144666194,-0.0030009030103955187,0.00018172138450611014,-0.0030009030103955187,0.0065394025220620235,0.031735598021228946,-0.0055829378778612425,0.0053632328499552363,-0.0055829378778612425,0.021700049468235578,-0.010641986838071261,0.0053632328499552363,-0.010641986838071261,0.017679093183345457,0.0049223625345915824,0.012128637639226458,0.016481560253222529,0.030621535094972795,-0.47270555325984553,0.88068824308362992,0.063051458527707022,-0.87843311571272231,-0.47368742309329687,0.9975403927490637,0.070033714284925261,0.002905804105796524
"lookup_25cm",0.25,63.844258729455078,28.275434051813985,1,-2.6256996576989877E-11,0.051499999999999976,-0.24524169337084534,-0.048543916400227732,0.059499999999999963,-9.8532293435482643E-16,-3.6082248300317588E-16,1.64134636490861E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203414,-0.072601280029880852,0.065157110712612973,0.016630255049486176,-0.00043225900307331487,0.00016784102245391406,-0.00043225900307331487,0.010084565221794335,-0.003128819745302964,0.00016784102245391406,-0.003128819745302964,0.00717141733809916,0.032245777194320417,-0.0059412533898713926,0.0051119708921756454,-0.0059412533898713926,0.020559862261512962,-0.010891114839168849,0.0051119708921756454,-0.010891114839168849,0.019329459563159564,0.0051645378827236705,0.012062844300791371,0.016658855425864583,0.032623423864031081,-0.53837193466670907,0.842075633288728,0.059675425778379677,-0.83997174932313579,-0.53933876543152381,0.99768459734204429,0.0678462991050794,0.004724820016385552
"lookup_26cm",0.26,66.79247240165239,28.275434051813985,1,-3.6735670061460723E-11,0.051500000000000011,-0.25407107070837959,-0.055207707885725293,0.0595,-9.5756735873919752E-16,-4.0939474033052647E-16,1.6161823833777941E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203414,-0.076900235643977091,0.061761470985885365,0.016814236825113023,-0.00045571787014787553,0.00015252790234294154,-0.00045571787014787553,0.0096080836542720514,-0.0032025985825474322,0.00015252790234294154,-0.0032025985825474322,0.0078318806812482881,0.032777189265390368,-0.0062909175571473127,0.00483899619658788,-0.0062909175571473127,0.01937619922907069,-0.010996041431319187,0.00483899619658788,-0.010996041431319187,0.021044534666671784,0.005382707423729682,0.012028234204676353,0.016843259532227279,0.034763434990711023,-0.60605764430330855,0.7946607045583487,0.056134742210209469,-0.79270190325506262,-0.6070194257952497,0.99781781618922794,0.065710154141698215,0.006463848546672782
"lookup_27cm",0.27,69.788938924880128,28.275434051813985,1,-5.1051496363641036E-11,0.051499999999999983,-0.26268165399607496,-0.062436757013149852,0.059499999999999963,-9.4022012397942945E-16,-4.5102810375396984E-16,1.6040752638292997E-15,1.6409073231960019,0.0005470582945658511,0.2638037286397194,0.046242786809203372,-0.081078064445311834,0.058092501534618687,0.017005480676546943,-0.00047872537512384171,0.0001357391924901485,-0.00047872537512384171,0.0091148117027566034,-0.0032177760134671335,0.0001357391924901485,-0.0032177760134671335,0.0085163964841976428,0.033329868763454396,-0.0066309392443261745,0.0045438056169052,-0.0066309392443261745,0.018161353766124762,-0.010946494767216824,0.0045438056169052,-0.010946494767216824,0.022812059627681715,0.0055683037843585487,0.012033489330908679,0.017034895748233914,0.036974958540713122,-0.67422308471176917,0.73760157570510865,0.05241122996591073,-0.73578207799440076,-0.67518723082986554,0.99794083763235841,0.06362362567465174,0.0081313493123115251
"lookup_28cm",0.28,72.838700057897071,28.275434051813985,1,-7.0725036938057428E-11,0.051499999999999983,-0.27104512089227456,-0.070246298129416324,0.059499999999999956,-9.2113816574368457E-16,-5.0653925498522767E-16,1.5927539092409249E-15,1.6409073231960016,0.000547058294565851,0.2638037286397194,0.046242786809203414,-0.085121267082230029,0.054143500663694687,0.017204093512527097,-0.00050121138376738267,0.00011742842641718425,-0.00050121138376738267,0.00860986658006247,-0.0031699726563645483,0.00011742842641718425,-0.0031699726563645483,0.0092199544428719429,0.033903851464717034,-0.0069602239846491372,0.0042258441611690923,-0.0069602239846491372,0.01692912558407432,-0.010732526238733253,0.0042258441611690923,-0.010732526238733253,0.024618270510994814,0.00571266141491825,0.012087378498074364,0.017233874622468844,-0.039158838854895892,0.74066058244190469,-0.67073727118474247,-0.048516958218446246,0.669051095552001,0.74163113223886223,0.99805445247479652,0.0615835461587404,0.00973533449597159
"lookup_29cm",0.29,75.947386832717953,28.275434051813985,1,-9.7977626012379915E-11,0.051500000000000011,-0.27913022764683326,-0.078653136981309185,0.059499999999999983,-8.9338259012805565E-16,-5.620504062164855E-16,1.5737470268884217E-15,1.6409073231960014,0.0005470582945658511,0.2638037286397194,0.046242786809203393,-0.089014885337507482,0.049907027735416783,0.017410172995361694,-0.00052309805017601921,9.7544893399387415E-05,-0.00052309805017601921,0.0080990321499952549,-0.0030549253076130149,9.7544893399387415E-05,-0.0030549253076130149,0.00993686835577374,0.034499174602490884,-0.0072775589007832518,0.003884496522117635,-0.0072775589007832518,0.015694967314720386,-0.010344604158498192,0.003884496522117635,-0.010344604158498192,0.026447751918122583,0.00580810530157225,0.012197671266032779,0.017440296933525605,-0.041194097386218688,0.80272739982389152,-0.59492164854920959,-0.044506297385957988,0.59336183981527613,0.80370449578437919,0.99815942405686253,0.059585641080759005,0.011283418961802537
"lookup_30cm",0.3,79.121351339160967,28.275434051813985,1,-1.3610884641579446E-10,0.051499999999999976,-0.28690230506020914,-0.087675921834184128,0.059499999999999956,-8.569533971325427E-16,-6.0368376963992887E-16,1.5474559905475697E-15,1.6409073231960014,0.0005470582945658511,0.2638037286397194,0.046242786809203372,-0.0927422615013075,0.045374773788250944,0.017623809735059458,-0.00054429859887976406,7.6032871885629863E-05,-0.00054429859887976406,0.0075888337372413588,-0.0028685261768412271,7.6032871885629863E-05,-0.0028685261768412271,0.010660703508225408,0.035115877147883737,-0.0075815932281119427,0.0035190764931389419,-0.0075815932281119427,0.014476157315799014,-0.0097737253206595289,0.0035190764931389419,-0.0097737253206595289,0.028283264462436813,0.0058491588308433587,0.01236993216777613,0.017654255981906692,-0.042961935057626237,0.85784690286906184,-0.5121063984896721,-0.040475784104286927,0.51066434841560515,0.85882689417507674,0.99825647157293584,0.057624773276984391,0.012782897462183092
"lookup_31cm",0.31,82.367831589696891,28.275434051813985,1,-1.9011076046737685E-10,0.051499999999999976,-0.29432261633686441,-0.097335488876128057,0.059499999999999956,-8.2139156587501816E-16,-6.5225602696727947E-16,1.5242793677333087E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203372,-0.096284728465179173,0.0405373981351096,0.017845089110902733,-0.00056471575317635519,5.2830657549673308E-05,-0.00056471575317635519,0.00708662667802286,-0.0026068711008144507,5.2830657549673308E-05,-0.0026068711008144507,0.011384189943287184,0.035754000179516784,-0.007870813227363261,0.0031288135973794456,-0.007870813227363261,0.013292006486649919,-0.00901154959363592,0.0031288135973794456,-0.00901154959363592,0.030105538323218949,0.0058334014232289712,0.012606664817784632,0.017875839491199121,-0.04437435151816789,0.90409501220660315,-0.42502132397149678,-0.036546665596356109,0.42368652171844667,0.90507130799065361,0.99834626165530893,0.055695064568292096,0.01424084343020399
"lookup_32cm",0.32,85.695161840199873,28.275434051813985,1,-2.676990296102133E-10,0.051499999999999976,-0.301347531735825,-0.10765530616462519,0.059499999999999956,-7.86697096355482E-16,-7.0082828429463007E-16,1.503987496161238E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203372,-0.099621208757371849,0.03538431936055645,0.018074092852433409,-0.00058423969797582694,2.7869317733560051E-05,-0.00058423969797582694,0.0066007030677758191,-0.0022663192629231274,2.7869317733560051E-05,-0.0022663192629231274,0.012099117295064897,0.03641358736848057,-0.00814350972220299,0.0027128359830285351,-0.00814350972220299,0.012164109734647278,-0.0080505646150371719,0.0027128359830285351,-0.0080505646150371719,0.031893022264185375,0.005761584205405559,0.012907197755143261,0.018105131254725251,-0.045392716547042272,0.94057077827846114,-0.33655031174124617,-0.032836329561689082,0.33531068558692267,0.94153519296526778,0.99842940498835275,0.053789917083761914,0.015664229145604343
"lookup_33cm",0.33,89.113046091882069,28.275434051813985,1,-3.8108627364863423E-10,0.051499999999999969,-0.30792745466674232,-0.11866205126722308,0.059499999999999956,-7.5417103118091688E-16,-7.4246164771807344E-16,1.4856410892412036E-15,1.6409073231960014,0.0005470582945658511,0.2638037286397194,0.046242786809203372,-0.10272769069479748,0.029903444076049043,0.018310900490541043,-0.00060274541436565194,1.0710739685713242E-06,-0.00060274541436565194,0.0061404228754930066,-0.0018435680140028517,1.0710739685713242E-06,-0.0018435680140028517,0.012796205125455332,0.037094685616628514,-0.00839773568414391,0.0022701482237527386,-0.00839773568414391,0.011116656965234445,-0.0068842905069489077,0.0022701482237527386,-0.0068842905069489077,0.033621573281746142,0.0056369941818307625,0.013268321667826962,0.018342212641831609,-0.046027652101576,0.96737911912925933,-0.24911662954269884,-0.029433194245232292,0.24795932779924945,0.96832322022859019,0.99850645582216391,0.05190194244960715,0.017060071846828707
"kinematic_max",0.33633720000587292,91.331015680296076,28.275434051813985,1,0,0.051500000000000011,-0.31184139346873296,-0.12600657692069123,0.059499999999999983,-7.2468073208931116E-16,-7.7021722333370235E-16,1.4659553343807198E-15,1.6409073231960014,0.000547058294565851,0.2638037286397194,0.046242786809203372,-0.10456488555308124,0.026254161766723096,0.018465045787374384,-0.00061388134279971433,-1.6902202744508792E-05,-0.00061388134279971433,0.0058667651040054608,-0.0015317851611604111,-1.6902202744508792E-05,-0.0015317851611604111,0.013224008193776235,0.037537469625573139,-0.008548278192704024,0.0019752669400507476,-0.008548278192704024,0.010506719921147007,-0.0060365080118452517,0.0019752669400507476,-0.0060365080118452517,0.03467429433477822,0.0055328693125043307,0.013526424981472582,0.018496524791179116,-0.046251175914056371,0.97970826542689793,-0.19501934104284568,-0.027459313777148955,0.19390757013430748,0.98063542681849758,0.998552359575328,0.050710638911646407,0.017933663533074441
