time,q1,q2,dq1,dq2,tau1,tau2
14.058,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.068,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.078,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.087,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.098,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.107,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.117,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.127,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.137,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.147,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.157,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.167,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
14.177,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.187,-0.03207,0.171364,0.007326,-0.007326,0.0,1.718134
14.197,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
14.207,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.217,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.227,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.237,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.247,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.257,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.267,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.277,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.287,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.297,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.307,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.317,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.327,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.337,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.347,-0.032262,0.171364,-0.036631,-0.007326,0.0,1.718134
14.357,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.367,-0.032166,0.171364,-0.036631,-0.007326,0.0,1.718134
14.377,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.387,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.397,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.407,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.417,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.427,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.437,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.447,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.457,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.467,-0.03207,0.171364,-0.021978,-0.007326,0.0,1.718134
14.477,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.487,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.497,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.507,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.517,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.527,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.537,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.547,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.557,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.567,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.577,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.587,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.597,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.607,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.617,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.627,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.637,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.647,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.657,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.667,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.677,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.687,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.697,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
14.707,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.717,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.727,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.737,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.747,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.757,-0.032166,0.171364,-0.036631,-0.007326,0.0,1.718134
14.767,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.777,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
14.787,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.797,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.807,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
14.817,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.827,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.837,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.847,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.857,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
14.867,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.877,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.887,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.897,-0.03207,0.171364,0.007326,-0.007326,0.0,1.718134
14.907,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.917,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.927,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
14.937,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.947,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.957,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.967,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.977,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
14.987,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
14.997,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.007,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.017,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.027,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
15.037,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.047,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.057,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.067,-0.03207,0.171364,0.007326,-0.007326,0.0,1.718134
15.077,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
15.087,-0.03207,0.171364,-0.007326,-0.007326,0.0,1.718134
15.097,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.107,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
15.117,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.127,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.137,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.147,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.157,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.167,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.177,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.187,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.197,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
15.207,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.217,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.227,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.237,-0.032262,0.171364,-0.007326,-0.007326,0.0,1.718134
15.247,-0.03207,0.171364,0.007326,-0.007326,0.0,1.718134
15.257,-0.032262,0.171364,-0.007326,-0.007326,0.0,1.718134
15.267,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.277,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.287,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.297,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.307,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.317,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
